year;pages;indicators_order
2007;38-125;"1;2;3;4;5;6;7;8;9;10;11;12;13;14"
2008;40-131;"1;2;3;4;5;6;7;8;9;10;11;12;13;14"
2009;40-131;"1;2;3;4;5;6;7;8;9;10;11;12;13;14"
2010;40-131;"1;2;3;4;5;6;7;8;9;10;11;12;13;14"
2011;40-151;"15;3;16;17;5;6;7;8;1;18;9;10;11;12;13;14"
2012;40-151;"1;18;9;10;11;12;13;14;15;3;16;17;5;6;7;8"
2013;42-153;"1;18;9;10;11;12;13;14;15;3;16;17;5;6;7;8"
2014;42-153;"1;18;9;10;11;12;13;14;15;3;16;17;5;6;7;8"
2015;42-153;"1;18;9;10;11;12;13;14;15;3;16;17;5;6;7;8"
2016;42-153;"1;18;9;10;11;12;13;14;15;3;16;17;5;6;7;8"
2017;42-153;"1;18;9;10;11;12;13;14;15;3;16;17;5;6;7;8"
2018;42-153;"1;18;9;10;11;12;13;14;15;3;16;17;5;6;7;8"
2019;40-155;"1;18;9;10;11;12;13;14;15;3;16;17;5;6;7;8"
2020;40-155;"1;18;9;10;11;12;13;14;15;3;16;17;5;6;7;8"
2021;40-155;"1;18;9;10;11;12;13;14;15;3;16;17;5;6;7;8"
2022;42-169;"1;8;9;10;11;12;13;14;15;3;16;17;5;6;7;18"
